title,document_type,abstract,library_location,buy_link,publication_date,season,publisher,city,keywords,disciplines,comments,identifier,fulltext_url,cover_image_url,create_openurl,update_reason,source_fulltext_url,author1_fname,author1_mname,author1_lname,author1_suffix,author1_email,author1_institution,author1_is_corporate,author2_fname,author2_mname,author2_lname,author2_suffix,author2_email,author2_institution,author2_is_corporate,author3_fname,author3_mname,author3_lname,author3_suffix,author3_email,author3_institution,author3_is_corporate,author4_fname,author4_mname,author4_lname,author4_suffix,author4_email,author4_institution,author4_is_corporate,author5_fname,author5_mname,author5_lname,author5_suffix,author5_email,author5_institution,author5_is_corporate,calc_url,context_key,issue,ctmtime
The Impact of Identity in K-8 Mathematics: Rethinking Equity-Based Practices,book,"<p>Each teacher and student brings many identities to the classroom. What is their impact on the student s learning and the teacher s teaching of mathematics?</p><p>This book invites K8 teachers to reflect on their own and their students multiple identities. Rich possibilities for learning result when teachers draw on these identities to offer high-quality, equity-based teaching to all students. Reflecting on identity and re-envisioning learning and teaching through this lens especially benefits students who have been marginalized by race, class, ethnicity, or gender. The authors encourage teachers to reframe instruction by using five equity-based mathematics teaching practices:</p><p>Going deep with mathematics
Leveraging multiple mathematical competencies
Affirming mathematics learners identities
Challenging spaces of marginality
Drawing on multiple resources of knowledge</p><p>Special features of the book: Classroom vignettes, lessons, and assessments showing equity-based practices
Tools for teachers self-reflection and professional development, including a mathematics learning autobiography and teacher identity activity at nctm.org/more4u
Suggestions for partnering with parents and community organizations
End-of-chapter discussion questions.</p><p>",,http://amzn.com/0873536894,2013-03-15 00:00,,The National Council of Teachers of Mathematics,"Reston, VA",,,Location: UW Tacoma Library Stacks - QA13 .A38 2013,978-0873536899,,,FALSE,,,Julia,,Aguirre,,jaguirre@uw.edu,University of Washington - Tacoma Campus,,Karen,,Mayfield-Ingram,,,,,Danny,,Martin,,,,,,,,,,,,,,,,,,,http://digitalcommons.tacoma.uw.edu/education_books/1,7384648,education_books,1438202706
"Instructional Practices for Students with Behavioral Disorders: Strategies for Reading, Writing, and Math",book,"<p>Presenting a broad range of instructional programs and practices that are proven effective for students with behavioral disorders, this is the first resource of its kind for K–3 teachers and special educators. Described are clear-cut strategies for promoting mastery and fluency in early reading, writing, and math, while tailoring instruction to each student's needs. Grounded in a three-tiered response-to-intervention framework that facilitates data-based assessment, decision making, and progress monitoring, the book includes helpful examples and reproducibles. A special chapter outlines instructional management procedures for enhancing student engagement and promoting positive behavior.</p>",,http://amzn.com/1593856725,2008-03-27 00:00,,Guilford Press,"New York, NY",,,Location: Suzzallo and Allen Libraries Stacks - LC4802 .N45 2008,978-1593856724,,,FALSE,,,Gregory,J.,Benner,,gbenner@uw.edu,University of Washington - Tacoma Campus,,J.,Ron,Nelson,,,,,Paul,,Mooney,,,,,,,,,,,,,,,,,,,http://digitalcommons.tacoma.uw.edu/education_books/2,7384649,education_books,1438202707
Strong Teens - Grades 9-12: A Social and Emotional Learning Curriculum,book,"<p>Social-emotional competence—it's a critical part of every child's school success, and just like any academic subject, children need instruction in it. Developed by a top expert, these proven curricula will help promote the social-emotional competence and resilience of children and adolescents.</p><p>Divided into four age levels from kindergarten through high school, these innovative social and emotional learning curricula are filled with engaging, thought-provoking class activities that help students develop vital skills they'll use for the rest of their lives: understanding emotions, managing anger, relieving stress, solving interpersonal problems, and much more. Each Strong Kids curriculum is</p><p>    Easy for non-mental-health experts. Each highly structured, partially scripted curriculum is ready for any professional to pick up and start using.
    Evidence-based. Field testing shows that these curricula generate positive responses from students and teachers and really help increase students' knowledge of healthy social-emotional behavior.
    A great way to boost academic skills. Lessons help improve critical literacy, listening skills, and memory skills while they promote social and emotional health.
    Brief enough to fit into any program. Lessons take just 30 to 45 minutes, and each curriculum is used for a maximum of 10-12 weeks.
    Age-appropriate. Choose from four curricula, each carefully tailored to the specific needs and experiences of its targeted age group.
    Effective for all children in any setting. Use Strong Kids with children across ability levels in settings like classrooms, group counseling sessions, and youth treatment facilities.
    Low-cost and low-tech. Strong Kids costs far less than similar programs and requires few extra resources.</p><p>Lessons in each curriculum include optional, easily adaptable scripts, sample scenarios and examples, creative activities, and ""booster"" lessons that reinforce what students learned.</p><p>Every school and early intervention program will benefit from the lasting effect of these four curricula: strong, resilient students with fewer mental health and behavior problems and better academic outcomes.</p>",,http://amzn.com/1557669325,2007-06-28 00:00,,Brookes Publishing,"Baltimore, MD",,,,978-1557669322,,,FALSE,,,Kenneth,,Merrell,,,,,Laura,,Feuerborn,,feuerl@u.washington.edu,University of Washington - Tacoma Campus,,Dianna,,Carrizales,,,,,Barbara,,Gueldner,,,,,,,,,,,,http://digitalcommons.tacoma.uw.edu/education_books/3,7384650,education_books,1438202708
Strong Kids - Grades 3-5: A Social and Emotional Learning Curriculum,book,"<p>Social-emotional competence—it's a critical part of every child's school success, and just like any academic subject, children need instruction in it. Developed by a top expert, these proven curricula will help promote the social-emotional competence and resilience of children and adolescents.</p><p>Divided into four age levels from kindergarten through high school, these innovative social and emotional learning curricula are filled with engaging, thought-provoking class activities that help students develop vital skills they'll use for the rest of their lives: understanding emotions, managing anger, relieving stress, solving interpersonal problems, and much more. Each Strong Kids curriculum is</p><p>    Easy for non-mental-health experts. Each highly structured, partially scripted curriculum is ready for any professional to pick up and start using.
    Evidence-based. Field testing shows that these curricula generate positive responses from students and teachers and really help increase students' knowledge of healthy social-emotional behavior.
    A great way to boost academic skills. Lessons help improve critical literacy, listening skills, and memory skills while they promote social and emotional health.
    Brief enough to fit into any program. Lessons take just 30 to 45 minutes, and each curriculum is used for a maximum of 10–12 weeks.
    Age-appropriate. Choose from four curricula, each carefully tailored to the specific needs and experiences of its targeted age group.
    Effective for all children in any setting. Use Strong Kids with children across ability levels in settings like classrooms, group counseling sessions, and youth treatment facilities.
    Low-cost and low-tech. Strong Kids costs far less than similar programs and requires few extra resources.</p><p>Lessons in each curriculum include optional, easily adaptable scripts, sample scenarios and examples, creative activities, and ""booster"" lessons that reinforce what students learned.</p><p>Every school and early intervention program will benefit from the lasting effect of these four curricula: strong, resilient students with fewer mental health and behavior problems and better academic outcomes.</p>",,http://amzn.com/1557669309,2007-06-05 00:00,,Brookes Publishing,"Baltimore, MD",,,,978-1557669308,,,FALSE,,,Kenneth,,Merrell,,,,,Laura,,Feuerborn,,feuerl@u.washington.edu,University of Washington - Tacoma Campus,,Dianna,,Carrizales,,,,,Barbara,,Gueldner,,,,,,,,,,,,http://digitalcommons.tacoma.uw.edu/education_books/4,7384651,education_books,1438202710
Strong Kids - Grades 6-8: A Social and Emotional Learning Curriculum,book,"<p>Social-emotional competence—it's a critical part of every child's school success, and just like any academic subject, children need instruction in it. Developed by a top expert, these proven curricula will help promote the social-emotional competence and resilience of children and adolescents.</p><p>Divided into four age levels from kindergarten through high school, these innovative social and emotional learning curricula are filled with engaging, thought-provoking class activities that help students develop vital skills they'll use for the rest of their lives: understanding emotions, managing anger, relieving stress, solving interpersonal problems, and much more. Each Strong Kids curriculum is</p><p>    Easy for non-mental-health experts. Each highly structured, partially scripted curriculum is ready for any professional to pick up and start using.
    Evidence-based. Field testing shows that these curricula generate positive responses from students and teachers and really help increase students' knowledge of healthy social-emotional behavior.
    A great way to boost academic skills. Lessons help improve critical literacy, listening skills, and memory skills while they promote social and emotional health.
    Brief enough to fit into any program. Lessons take just 30 to 45 minutes, and each curriculum is used for a maximum of 10-12 weeks.
    Age-appropriate. Choose from four curricula, each carefully tailored to the specific needs and experiences of its targeted age group.
    Effective for all children in any setting. Use Strong Kids with children across ability levels in settings like classrooms, group counseling sessions, and youth treatment facilities.
    Low-cost and low-tech. Strong Kids costs far less than similar programs and requires few extra resources.</p><p>Lessons in each curriculum include optional, easily adaptable scripts, sample scenarios and examples, creative activities, and ""booster"" lessons that reinforce what students learned.</p><p>Every school and early intervention program will benefit from the lasting effect of these four curricula: strong, resilient students with fewer mental health and behavior problems and better academic outcomes.</p>",,http://amzn.com/1557669317,2007-06-22 00:00,,Brookes Publishing,"Baltimore, MD",,,,978-1557669315,,,FALSE,,,Kenneth,,Merrell,,,,,Laura,,Feuerborn,,feuerl@u.washington.edu,University of Washington - Tacoma Campus,,Dianna,,Carrizales,,,,,Barbara,,Gueldner,,,,,,,,,,,,http://digitalcommons.tacoma.uw.edu/education_books/5,7384652,education_books,1438202711
Designing Effective Mathematics Instruction: A Direct Instruction Approach,book,"<p>For courses in Mathematics in Special Education. Providing teachers with the information needed to design supplemental mathematics instruction and to evaluate and modify commercially developed math programs, Designing Effective Mathematics Instruction, Fourth Edition, gives teachers systematic procedures and teaching strategies to augment instruction. The new edition discusses the history and components of the direct instruction approach to teaching mathematics, as well as relevant and current research skills and techniques required for effective mathematics instruction, including strategies for pacing lessons, correcting errors, and diagnosing and remedying error patterns. Designing Effective Mathematics Instruction also contains Instructional Sequence and Assessment Charts for primary, intermediate, and remedial teachers, which serve as diagnostic tests or as a basis for constructing goals and objectives for students.</p>",,http://amzn.com/0131192442,2005-08-05 00:00,,Pearson,"Upper Saddle River, NJ",,,,978-0131192447,,,FALSE,,,Marcy,,Stein,,mstein@uw.edu,University of Washington - Tacoma Campus,,Diane,,Kinder,,dkinder@u.washington.edu,University of Washington - Tacoma Campus,,Jerry,,Silbert,,,,,Douglas,W.,Carnine,,,,,,,,,,,,http://digitalcommons.tacoma.uw.edu/education_books/6,7384653,education_books,1438202712
Shut Up and Listen: Teaching Writing that Counts in Urban Schools,book,"<p>Less than fifty percent of African American students graduate from high school. Their educational failure is built into the racial structure of curriculum, standardized testing, teacher preparation programs, and even teacher recruitment pathways. Shut Up and Listen argues that African American students should be taught to navigate and resist the racism perpetuated in every aspect of society and schools, and that to do so requires the development and expression of a culturally-rooted voice as a foundation for multicultural, multilingual, democratic communities. Shut Up and Listen focuses on the voices, perspectives, and experiences of urban African American students - and on their writing, to remind educators of the power of voice, and how far schools are from addressing the reality of racism.</p>",,http://amzn.com/1433111217,2011-06-10 00:00,,Peter Lang International Academic Publishers,"New York, NY",,,,978-1433111211,,,FALSE,,,Christopher,Bodenheimer,Knaus,,educate@uw.edu,University of Washington - Tacoma Campus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://digitalcommons.tacoma.uw.edu/education_books/7,7384654,education_books,1438202713
"Race, Racism and Multiraciality in American Education",book,"<p>This research monograph analyses and describes what multiracial undergraduates have come to think of in terms of their own lives and issues of race and racism. Race is often construed by others as a mono-racial taxonomy (black/white, etc). This work describes the multiracial populations, discusses critical analysis of race and racial identity theory for tertiary education. Dynamics and suggestions for educators as well as a review of current literature. Index and robust bibliography.</p><p>Academica Press is an independent scholarly press specializing in publishing monographs and reference material in the humanities and social sciences. We are particularly interested in producing works of scholarly interest English language studies, literary history and criticism ,drama, sociology, education and Irish studies. (Our dedicated imprint, Maunsel & Co., specializes in scholarly research in Irish studies.) We have recently developed projects in African and Afro-American research areas as well as Theology and Legal Studies.</p>",,http://amzn.com/1933146265,2006-09-30 00:00,,Academica Press,"Bethesda, MD",,,Location: UW Tacoma Library Stacks - LC212.2 .K57 2006,978-1933146263,,,FALSE,,,Christopher,Bodenheimer,Knaus,,educate@uw.edu,University of Washington - Tacoma Campus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://digitalcommons.tacoma.uw.edu/education_books/8,7384655,education_books,1438202714
Learning Chinese: through Festivals and Legends,book,"<p>Chinese festivals draw the community together to celebrate the well-loved traditions and to retell the familiar tales. Children love to make lanterns and to decorate dragon boats. Suns being shot down from the sky, a golden dragon springing up from a dry pond, and magpies forming a bridge for the weaver and the cowherd are delightful legends that continue to charm generation after generation. The bilingual texts in this book serve both heritage and non-heritage Chinese language learners in the western world. The intricate paper-cut illustrations invite readers to color the pages as they reflect upon the stories. The traditional crafts will enhance children¹s enjoyment of the festivals. Above all, the stories are here for all to cherish.</p>",,http://amzn.com/1935359150,2009-08-18 00:00,,Book Publishers Network,"Bothell, WA",,,Location: UW Tacoma Library Children's Lit - PL1115 .L67 2009,978-1935359159,,,FALSE,,,Belinda,Yun-ying,Louie,,blouie@uw.edu,University of Washington - Tacoma Campus,,Aki,,Sogabe,,,,,,,,,,,,,,,,,,,,,,,,,,http://digitalcommons.tacoma.uw.edu/education_books/9,7384656,education_books,1438202715
Learning Chinese: Through Stories and Activities,book,"<p>Weighing an elephant, turning an iron rod into a needle, and other authentic stories in this book, which charmed generations of Chinese children in the past, continue to delight young readers today. The English/Chinese bilingual texts allow both novice and advanced Chinese language learners to sharpen their language skills while enjoying the stories. More than just a picture book, the intricate papercut illustrations invite young readers to color the pages and to reflect upon the stories. From making shadow puppets to constructing your own shuttlecock, the Chinese activities and games provide further enrichments to the reading of these traditional tales.</p>",,http://amzn.com/188754254X,2007-09-10 00:00,,Book Publishers Network,"Bothell, WA",,,Location: Suzzallo and Allen Libraries Stacks - PL1115 .L68 2007,978-1887542548,,,FALSE,,,Belinda,Yun-ying,Louie,,blouie@uw.edu,University of Washington - Tacoma Campus,,Aki,,Sogabe,,,,,,,,,,,,,,,,,,,,,,,,,,http://digitalcommons.tacoma.uw.edu/education_books/10,7384657,education_books,1438202716
